,Abstract 1,Abstract 2,Abstract 3,Abstract 4,Abstract 5,Abstract 6,Abstract 7,Abstract 8,Abstract 9,Abstract 10
Abstract 1,1.0,0.0483,0.0052,0.0339,0.0449,0.0599,0.0113,0.0094,0.0163,0.0573
Abstract 2,0.0483,1.0,0.0265,0.0394,0.0457,0.0854,0.0213,0.1354,0.0084,0.0353
Abstract 3,0.0052,0.0265,1.0,0.044,0.058,0.009,0.0378,0.021,0.0255,0.0532
Abstract 4,0.0339,0.0394,0.044,1.0,0.1868,0.0363,0.0521,0.0185,0.035,0.1314
Abstract 5,0.0449,0.0457,0.058,0.1868,1.0,0.0706,0.072,0.0304,0.0127,0.1356
Abstract 6,0.0599,0.0854,0.009,0.0363,0.0706,1.0,0.0578,0.0705,0.0064,0.1102
Abstract 7,0.0113,0.0213,0.0378,0.0521,0.072,0.0578,1.0,0.0173,0.0363,0.0743
Abstract 8,0.0094,0.1354,0.021,0.0185,0.0304,0.0705,0.0173,1.0,0.0084,0.0388
Abstract 9,0.0163,0.0084,0.0255,0.035,0.0127,0.0064,0.0363,0.0084,1.0,0.0447
Abstract 10,0.0573,0.0353,0.0532,0.1314,0.1356,0.1102,0.0743,0.0388,0.0447,1.0
